Gene.names	p-value	log2
EML2	0,681468321	0,363168743
ATP6V1C1	0,179075496	1,157297079
ANXA13	0,548235204	0,634982621
BST1	0,115086178	0,522152022
YWHAQ	0,6510059	0,0576252
DSG1	0,01881775	0,403749898
PRKAG1	0,089747954	0,57574064
ORM2	0,309513182	0,42386983
TRAP1	0,789875407	0,045165406
OPLAH	0,458474967	0,435601295
STEAP4	0,026692088	0,831318461
HNRNPA1	0,199535387	0,162149224
SUCLA2	0,608601652	0,096812038
CA12	0,000294796	1,81485895
TARS	0,013210191	1,186144279
APEH	0,540809627	0,409393344
MAOA	0,307041045	0,077479446
SLC5A9	0,00438731	1,103038865
STX7	0,017159598	0,811301109
SDCBP	0,001002598	1,248467055
RAB27B	0,524096253	0,271158786
GHITM	0,200700897	0,615335446
ACADSB	0,181427906	0,436324284
SLCO4C1	0,972874743	0,091206995
ISLR	0,667666607	0,075609618
PSMD12	0,110946573	0,690376921
ITGB2	3,67E-05	4,12012566
DIAPH1	0,001378049	2,127957718
PPP2CB	0,290850865	0,372063276
ITCH	0,590151438	0,292743287
sep-07	0,00892532	0,771237161
PFKM	0,158226428	0,742995275
TRIM29	0,000106509	2,587396474
ETFB	0,171122525	0,397125263
PTPA	0,12599414	0,332357615
NDUFA10	0,464679362	0,41009916
C4A	0,002839626	0,773559898
PLD3	0,956141133	0,242956462
PLCG2	0,11053945	1,876334033
EIF5A	0,000287992	1,265580402
QPRT	0,473778389	0,04132578
TRIM47	0,054771635	0,660761699
DLST	0,072490325	1,073577766
GCA	0,705264057	0,123789238
CYSTM1	0,155862234	0,371371519
SPTA1	0,068625675	0,464351457
SERPINB12	0,151224535	0,684538555
MAN2B2	0,37312283	0,779461773
DHX9	0,031580451	0,931009921
TMPRSS11D	0,072337398	0,394130907
OXCT1	0,182350597	0,525171601
GIPC1	8,63E-05	1,379099089
ARL13B	0,472217961	0,659751294
GALM	0,095905658	0,646808518
KRT80	0,095657208	0,379229308
HSDL2	0,080753477	0,554424485
SARG	0,760927747	0,330502243
C5	0,810332382	0,282891411
HSPA6	0,189620787	0,29636186
CRB2	0,935084382	0,048737796
OLA1	0,063989243	0,67367595
CRABP2	1,58E-06	1,988358807
CDH16	0,001138675	3,066306042
HNRNPH1	0,592349188	0,481567092
GNPDA1	0,00390978	1,797442077
IGFBP7	0,221063218	0,796048202
LONP1	0,406721659	0,493844032
ACAT2	0,074236491	0,588717378
BLVRA	0,865780928	0,100221961
GLYAT	0,06774381	1,780644358
ESYT1	0,131855876	0,479290293
SULT1A1	0,474880967	0,631866275
SLC25A24	0,544706363	0,633586231
CAT	0,119645902	0,747524823
ATP6AP1	0,24785625	0,230487774
DDAH1	0,139936238	13,28771238
SLC22A8	0,85219731	0,042450425
IGHG4	0,438894038	1,657400358
RAB5B	0,076087152	0,888430484
ELANE	0,006051739	1,893998393
RAB25	0,027399389	0,393337714
ACAA1	0,042289222	0,579284698
FABP5	1,82E-07	3,68586
DNM2	0,025084605	0,366139158
PARK7	0,493127691	0,02548966
GARS	0,986031238	0,024063436
PREP	0,021119873	1,029408995
SFXN1	0,301018674	0,760334551
AKAP4	0,87708841	5,628510846
PAFAH1B1	0,101941414	0,589826007
sep-02	0,104943293	0,648831632
GALNS	0,177055247	1,031567627
ETFDH	0,742332496	0,211465662
PLXNB2	0,969657166	0,005610974
DECR1	6,32E-05	1,818663361
HYAL1	0,792582149	0,27616858
ABCD3	0,039335967	1,304354603
IDH3A	0,420517753	0,19870343
GPT	0,344329953	0,335994233
MFGE8	0,430981634	0,055398878
SERPINA6	0,805202371	0,301191251
PTTG1IP	2,61E-08	3,101239004
HIBCH	0,101704636	0,544012294
PSMA7	0,004713199	1,7685274
LPL	0,617469915	0,903640445
SND1	0,115752352	0,707598158
FCN2	0,004386598	1,426229916
CEACAM8	0,101446211	0,886911429
CARMIL1	0,280168644	0,484614876
BCAP31	0,354639765	0,428186152
AKR1C2	0,761657185	0,215730336
TAGLN2	0,017886294	0,602724957
QDPR	0,119902931	0,492738376
CD55	6,08E-11	3,640516214
CA4	0,017845385	0,807420518
TMEM43	0,915849516	0,359003428
RNASE2	0,082352573	0,803414924
RPS2	0,012853526	0,777109468
ALDOC	0,186172417	0,495912511
SOD3	0,013974305	2,65741217
LCN2	0,018030179	1,172847292
ATP6V0D2	0,081383483	1,85894582
GALK1	0,414508924	0,037088311
ARL8A	0,007490349	0,588615318
PSCA	0,090391769	0,448853085
IGKV4-1	0,003667679	1,257249447
DSTN	1,51E-08	3,007065245
RDH11	0,680261734	0,457232069
RAB35	0,243047566	0,083012144
DSC2	0,003959174	0,945543876
NDUFS3	0,914563503	0,680730144
RHOG	0,05366141	0,850900291
MUC5B	0,001398308	1,631891387
VPS25	0,199810876	0,629829894
SPTBN2	0,030468501	1,39524648
SCCPDH	0,004441679	1,949637578
ECM1	0,192728669	0,197972691
PPP2R2A	0,01533871	0,916431116
ITIH2	0,765981006	0,040611886
DNASE1	0,751027961	0,251613669
SCRN2	0,62650431	0,505863313
CPNE1	0,007275318	0,892829296
DLD	0,15179094	0,864758439
POF1B	0,011973765	1,583022775
TGM4	0,247447858	0,471695097
SLC22A11	0,05230888	1,414995495
GPD1L	0,737860699	0,063939543
ANKFY1	0,173504128	0,083445652
XPO1	0,032609521	1,414760474
SAMD9	0,000424431	2,09989239
HYOU1	0,535238325	1,447731944
XRCC5	0,000643606	2,275225213
IARS2	0,701231267	0,027192062
HSPA12A	0,174887421	0,694249521
MSRA	0,486025761	0,260684142
CALM3	0,501286144	0,345775781
MYL6	0,014234464	0,655896486
GLO1	0,00430848	0,85131986
SLC2A1	0,34099113	0,088336251
TMEM176B	0,346952344	0,892806781
XPNPEP1	0,231769072	0,442703562
GSTO1	0,233463732	0,497395791
IGHV3-74	0,232683735	0,33867057
CYC1	0,556471555	0,236781179
PRDX3	0,728256889	0,239736523
IMPDH2	0,763390535	0,185494139
HIST1H2AJ	0,156175264	0,486596743
TUBB2B	0,328464067	0,298020119
F11	0,018567263	0,948581031
C8B	0,767094872	1,03926638
IGHV3-7	0,295570852	0,546484399
EPRS	0,047836343	0,601098491
PARD6B	0,009879958	1,181388992
FLNA	0,223553608	0,074788982
DDX39B	0,008847474	2,044764648
USO1	0,008931834	1,631378321
GDA	0,263406331	0,148517471
PGM2	0,040025943	1,717251991
ITIH1	0,518633188	0,46303984
UCHL1	0,080687591	1,313594221
FAM129A	0,020789886	0,555310237
ITGA3	3,20E-06	2,27470008
RPS6KA1	0,014453496	1,280765728
ARPC4	0,003378114	1,119993065
TOMM40	0,698993851	0,223089434
HEXA	0,013134249	1,902181107
CTTN	0,055494234	0,266406887
PTPN23	0,177818999	0,199605942
RALA	0,635744836	0,027999854
FAH	0,00311901	1,337219716
EEF1D	0,065212279	1,419159917
FUCA2	0,877422857	0,092855991
DNAJA1	0,651783452	0,228171726
MARCKS	0,423746512	0,606146041
C7	0,672771422	0,133811585
AZU1	0,044812528	1,611677357
TMEM27	0,000897342	1,479979106
SNAP23	0,196599582	0,785205933
PLS1	0,808651636	0,405809638
RPL4	9,19E-07	2,897822785
TRHDE	0,995177279	1,361037039
SMIM24	0,012826708	1,504173144
TMEM106B	0,71747006	0,303292458
UBA6	0,006845736	2,210193943
ACADS	0,220015192	1,342266614
ADH6	0,935136906	0,138218041
FOLR1	7,06E-05	2,471715832
TNXB	0,847016791	0,323353507
GRB2	0,899243989	0,331521395
BPI	0,097789229	0,927992405
TPT1	0,000281834	1,308473543
NME2	0,010655361	1,670474685
ARF4	0,00027974	1,069542008
ARL3	0,03148327	0,902205736
XRCC6	0,000480137	2,053433925
GLTP	0,021694815	0,641835039
RPL7	0,048789012	0,558105761
APRT	0,007240588	0,889543152
EFCAB6	0,146189035	13,28771238
PSME1	0,424703111	0,288155221
IARS	0,048316716	1,540321549
TMPRSS11E	0,032502919	1,140361269
RENBP	0,538719518	0,73641485
CD177	1,73E-05	3,830145848
GPC4	0,175017262	0,780744444
GPC3	0,625623925	0,427102149
CAPZA1	0,100250944	0,467458637
EIF6	0,105547207	1,048220681
MMP9	0,085552942	2,514393733
TALDO1	0,000261414	2,154069241
FLII	8,84E-05	2,558543405
RAB43	0,4010491	0,076177878
CHMP6	0,7683708	0,400139108
PSMC2	0,892435705	0,20899227
IQCC	0,935908703	0,094364696
MFSD12	0,010837074	1,418745291
CRAT	0,912771904	0,381019246
APOH	0,20632957	1,435941462
PDIA4	0,338754777	0,612997757
CDHR2	2,37E-09	3,011315155
RPL3	1,14E-05	2,259920582
HNRNPA3	0,013405446	1,603277861
EFEMP1	0,050071088	0,6373334
CAMK2D	0,572425652	0,056665896
NDUFV1	0,006196862	1,100999407
CSNK1A1	0,201778303	0,650767467
XPO7	0,205708707	0,315595948
PSMD6	0,841921469	0,123998291
SLC9A3R2	0,00369716	1,391373701
CLIC6	0,024928677	1,364030778
FAM49B	0,226172888	0,744551427
CHMP4C	0,085792712	0,918144196
SLC7A8	0,569642779	0,016930381
RAPGEF3	0,062130294	1,004585725
RPS9	0,000462043	1,5149515
USP14	0,003966897	1,045941609
C4BPA	0,038302914	2,191012981
CORO1A	0,001140876	3,06250572
GSS	0,756010405	0,170137848
ITIH3	0,443436325	0,536597135
CTSZ	0,116708738	0,927688068
TPRG1	0,013664969	1,944087502
S100A11	0,023018642	1,10249256
CSE1L	0,178037599	1,259447979
UPK2	0,009125299	0,893802204
SLC1A1	0,004762406	1,272738627
NIPSNAP1	0,821967872	0,227874521
RP2	0,013209688	0,855756093
TMEM63A	0,089398564	0,541836449
GPR155	0,932155282	0,180021105
PPP1R7	0,623463658	0,096325099
USP9X	0,038241549	2,09006158
BPIFB1	0,011993139	0,101951349
SULT1C2	0,260032994	0,360943895
MGST3	0,242768283	0,3168333
MEGF8	0,236244456	1,017195975
TMED10	0,000518643	1,335132742
ALOX12B	0,060604851	2,561441958
DAB2	0,387936464	0,194050274
ABCB6	1,59E-05	2,100648583
TSTA3	0,618418437	0,211388306
NEU1	0,011270877	0,586785609
ACOX3	0,102711467	0,657382805
RAB18	0,046219774	0,922196856
TJP2	0,012900338	0,856828881
RAB1B	0,157828097	0,185123754
CPNE5	0,007490172	1,242493187
DBT	0,917622501	0,172101401
SLC44A1	0,657380387	0,358091475
TACSTD2	0,691279628	0,287010261
HSD17B12	0,796272767	0,285608697
H2AFY	0,000943553	1,564154377
PRTN3	0,174155833	0,880829382
IVD	0,053088573	1,336659827
RPS8	9,57E-05	1,316534775
DNAJA2	0,133568295	0,361661724
PAPSS2	0,000834372	3,051628713
PDLIM5	0,009918294	0,761768591
MYO1E	0,082755447	0,842614017
AMY1A	0,775225734	0,542370148
HSP90AB2P	0,687741346	0,472903297
TECR	0,004056399	1,483313072
NT5C2	3,37E-05	2,515173273
KIF13B	0,915465828	0,361764836
ARPC3	0,257865336	0,304843055
EIF4G1	0,017876416	1,850142162
SLC25A4	0,176802571	0,886697414
VARS	0,123190343	0,904335161
RPS3A	0,003260368	1,258055326
DGLUCY	0,108198628	1,362151225
SCPEP1	0,894308082	0,725259545
C1RL	0,167467688	0,055680492
SH3GL1	0,026127578	0,810998077
PA2G4	0,110377493	0,863687955
HEBP2	0,444056387	0,072649965
CUL3	0,110366378	0,00373107
SEC22B	0,015476878	1,340017841
EIF3B	0,000162856	2,442106346
DNAJC11	0,016743085	1,00901027
VPS26A	0,007417631	1,219176981
PTPRC	0,193800471	1,408375904
TAOK3	0,594864401	0,259379579
DPP3	0,454666358	0,43244029
CYB5R1	0,19379969	0,24670782
HNRNPC	0,076725288	0,96183637
CHMP3	0,108579711	0,490184452
GLOD4	0,577271686	0,63757205
HBD	0,705726908	0,393584606
ABAT	0,01296604	1,823638471
TSPAN3	0,07305013	0,502198563
VNN2	0,039571325	2,119292519
PAFAH1B2	0,506448658	0,143392444
MCCC2	0,098930964	1,782649966
RPL15	0,084172334	0,789012554
SLC5A8	0,000461649	1,808574814
PABPC1	0,024022013	0,999487609
CROCC	0,289385544	0,372097852
ALDH16A1	0,924407497	0,199796471
TFG	0,017103307	1,023566917
ECHDC1	0,171165582	0,905030683
EPB41L1	0,0488079	2,791824339
PSMA1	0,030517012	1,391968611
PSME2	0,498059717	2,15E-06
TRIP10	0,082687066	0,980674793
SDCBP2	0,049618847	0,927994876
PCYT2	0,014980972	1,104235401
APPL2	0,002621941	1,242336422
PSMC4	0,060764865	0,881422636
DCD	0,988547177	0,000432302
F9	0,015100208	1,046418786
RPL6	0,000452863	1,76446208
ABCD4	0,017215381	1,681245526
AP1M2	0,083606503	0,750827502
CLRN3	0,021400812	0,657237567
RTCB	0,01528354	1,374197442
BIN1	0,009564131	1,586423276
SOD2	0,090839145	1,166547148
DNAJC5	0,334835792	0,138540749
COX4I1	0,598468564	0,131972071
PTPRS	0,096137082	1,380584509
PSMA2	0,776999933	0,668271523
PSMA3	0,977481115	0,312863995
EPS8L1	0,104371303	13,28771238
UGT1A9	0,485594022	0,51374055
ESYT2	0,114545761	1,678023577
HUWE1	0,0407233	1,212986233
NANS	0,038675218	0,87140899
PSMC1	0,379685485	0,301893572
LYPLAL1	0,646972212	0,007468119
SCAMP2	0,485291501	0,084613624
ALDH3A1	0,010204476	1,044290645
EIF2S3	0,007983549	1,246140387
PSMD7	0,282553359	0,441814189
HEBP1	0,777050957	0,324975311
ILVBL	0,099193648	0,613554289
SYTL1	0,003844643	0,975628817
PTPN6	0,738421656	0,120058969
FUT6	0,280176712	0,39395661
OGDHL	0,17494631	0,963687529
GSTT1	0,095936629	0,965848674
SOD1	5,18E-05	2,721938181
UBXN6	0,000249392	2,095550396
DNAJC13	0,038012205	1,123259791
MGLL	0,162855557	0,964782824
TOM1L2	0,046322646	0,815945111
ATP6V1C2	0,563746569	1,61753993
PHPT1	0,51442236	0,363288709
SLC25A12	0,789402933	0,770460594
FREM2	0,499663867	1,123645816
GSTM1	0,18863757	0,545363156
PSMA6	0,679690733	0,247653046
AQP7	0,050005153	0,879894446
GM2A	0,072168827	1,56493671
ALDH5A1	0,215700008	0,119645913
SACM1L	0,000494329	2,938349552
ARMT1	0,945414241	0,149662492
NUCB1	0,198646492	0,946035165
RAB32	0,31137622	1,244442658
ARHGDIB	0,00395207	1,761264577
CDH11	0,661639257	1,442384254
CRYBG1	0,007290177	1,872642134
SMS	0,519082601	0,258876529
IFITM3	0,802869452	0,298518136
TMEM30A	0,120291895	0,381104122
RRAS	0,91067356	0,020224576
MUC21	0,499503025	0,378061679
MGAT1	0,596767843	0,262409167
FAM129B	0,004028541	0,851385243
UBR4	0,017883259	1,780923061
ACTB	2,91E-10	13,28771238
H3F3A	0,00155604	1,134434386
ATL3	0,098669536	0,880783801
C21orf33	0,419824118	0,252607615
ARCN1	0,000241101	1,683529585
GLG1	0,676025558	0,55361506
RAB29	0,005279465	0,935705762
SLC22A2	0,025114338	0,690932568
EFEMP2	0,00187317	1,415936783
CMAS	0,007834306	1,331197582
SLC22A13	0,0234496	1,55463942
PLA2G4D	3,17E-05	5,668230925
PLA2G15	0,728485182	0,641684721
VPS29	0,000434208	2,243194721
C11orf52	0,736622432	0,315238656
S100A16	0,005996693	0,851634351
TYMP	0,015582485	1,476346019
NIT1	0,650601101	0,566238151
IGKV2-28	0,197805627	0,535997745
CSTA	0,159707872	1,239370191
CD81	0,000105872	1,477989759
RPS16	0,000319653	1,629352613
IVL	0,001494012	2,771289919
SLC17A3	0,000610592	2,099853677
DEFA3	2,77E-16	13,28771238
MGAT5	0,288429329	0,73860156
CBR3	0,80164102	0,078626859
BCKDHA	0,031580778	1,598038298
YWHAH	0,576818207	0,115661173
STRADB	0,129885264	0,375773162
PSMD1	0,166251629	0,787103191
EIF3E	0,012830398	1,149325349
TBC1D10A	0,109488367	0,361230428
ALAD	0,013533552	1,377607082
TGFBR3	0,613819517	0,100788738
STAMBP	0,024278236	0,757458698
EPB42	0,110587543	0,609815083
UGGT1	0,987524298	0,378230039
ANG	0,000330804	2,513664986
LYPLA1	0,004768706	1,180689952
UCHL3	0,154842121	0,765287287
MAP2K2	1,40E-05	3,505367803
ZDHHC1	0,108931055	0,387177568
HK3	0,666782435	0,298188053
TGM3	0,769346368	1,136917129
MAPK3	0,103391255	0,819764529
CSNK2A1	0,388008882	0,673584752
SDHB	0,638953317	0,759724077
ALDH1B1	0,516613563	0,105196612
PIP	0,625747573	1,134952585
RPL11	4,42E-05	2,513571444
MT-ATP6	0,25463913	0,352350924
ACOT1	0,795173717	0,021620707
S100A14	0,024799679	0,78513076
NAT8	9,91E-05	2,309617506
ERP44	0,000165028	2,384643954
AFG3L2	0,957930535	0,074776628
TSPAN6	0,00109064	1,695783856
LETM1	0,455148915	0,491623951
PLOD3	0,534350774	1,37309627
AK1	0,002994872	1,508240266
UBE2N	0,001004266	1,417994513
PICALM	0,101459212	0,642906569
RPS7	7,11E-06	1,412629343
SLC15A2	0,036415279	1,101236864
UNC45A	0,00019795	2,86642942
SPAST	0,304580344	0,725022148
SLC25A10	0,809536287	0,022032829
ENOSF1	0,858800439	0,293023428
SLC31A1	0,146422722	0,680654008
GART	0,000357117	2,151919824
MARS	0,009288877	0,430052412
RPL18A	1,09E-07	2,446989324
FBLN1	0,071573209	1,005209652
DDX17	0,001211417	1,552608778
AIMP2	0,23194349	0,442964812
AP2M1	0,006216227	1,302809535
BTD	0,578919406	0,633792319
HAGH	0,622987328	0,644413791
DNPH1	0,409994148	0,285384666
NUTF2	0,006034141	2,07040739
PSMB1	0,941472906	0,456207198
SCRN1	0,003425809	1,758862797
DCTN1	0,221894262	0,063306635
ASNA1	0,531052411	0,206815939
RTN3	4,33E-05	2,188096501
FERMT3	0,001512377	13,28771238
WARS	0,019823712	0,528263045
LRBA	0,187446155	1,285094749
KCTD12	0,022610217	1,189055977
G6PD	0,000219703	2,211766341
ALOX15B	0,000136295	2,456951017
LANCL1	0,850417457	0,071434021
BDH1	0,22508846	0,116124473
EIF3F	0,003308584	1,525486915
HSPA4L	0,578500106	0,878737274
RAB3B	0,662375332	0,387872796
PAK4	0,676485441	0,1855118
CLN3	0,014358166	0,906473342
NT5C	0,038154359	1,141036148
GPX4	0,051096733	0,640488207
PDZK1IP1	0,782872321	0,013702642
ARSB	0,000645115	1,854694486
EIF3C	2,73E-05	2,502476522
PGA3	0,624348566	0,71955315
CDK5	0,000139703	1,290601818
MVK	0,00023788	1,831917695
FAM213A	0,114282655	0,652993295
RHOF	0,632036963	0,036829616
MYO7B	0,937821682	0,412755307
RAB12	0,718033247	0,274397294
EXOC4	0,083155044	1,79119386
SMO	1,22E-05	2,07817052
CPPED1	0,148559513	0,265790655
PRG2	0,000337243	2,476368632
TMED9	0,003018679	2,407264399
PAPPA2	0,19617579	1,693325339
SEC23B	0,037619533	0,988843869
SMPD1	0,238412361	1,034130375
RUVBL1	0,050584085	0,29716665
KRT20	0,916062617	2,151390665
SFPQ	0,013894084	1,789141208
RPL10	4,98E-07	3,460862258
CAB39L	0,4710767	0,163505371
MOB1A	0,729347498	0,223832336
IPO7	0,001514071	2,501526737
NAGA	0,948009869	0,077062239
HMGCL	0,098805953	0,628723722
PTPN11	0,026164148	1,001874561
CORO1C	0,14782076	0,679242155
STT3A	0,675780444	0,004967281
SLC9A3	0,928023314	0,144812001
UFL1	0,007627866	1,850264525
NT5E	0,395866448	0,730173745
PIP4K2C	0,737623908	0,14254505
SSH3	0,025835345	1,711066235
IL1RN	0,001124004	1,449446487
PSMB5	0,235653047	0,04866815
SIRPA	0,774993207	0,163620202
CYB5A	0,006029496	1,707469808
RPL9	0,01414606	1,612674983
PRKAA1	0,003544751	1,574137598
LAMTOR1	0,679468064	0,226164793
PRPS2	0,866536004	0,401377684
PSMA4	0,981103049	0,587977359
RBP5	0,018874687	1,293452176
EDIL3	0,06993503	0,424357012
GPX1	0,018573472	0,91139782
HIBADH	0,062666705	2,86902309
RAB22A	0,148999999	0,680229591
OSBP	0,123250271	0,710495947
ACY3	6,87E-05	2,732682082
RRAGC	0,653868422	0,195078482
ECH1	0,025014496	1,63192115
SLC22A4	0,014910629	1,175135433
TUBB6	0,718942695	0,087782474
RTCA	0,009297096	1,125730261
HGS	0,059976318	0,86748501
SLC34A1	0,456076754	0,443167877
RPL18	0,023165981	1,132627344
PKD2	0,040437089	1,337742691
ZMPSTE24	1,06E-05	2,544064842
DCTN2	0,363004962	0,345971218
BLMH	0,016608891	0,804218065
RUVBL2	0,446097025	1,192234398
VPS37C	0,007457299	1,126279436
EIF5	3,54E-06	2,784719938
FN3K	0,880486107	0,096349667
SCP2	0,018349683	2,012629559
ACSM2A	0,002053214	2,896797792
LARS	0,045715752	0,624709608
CALML3	0,001787744	1,245478083
HOXA7	0,014161574	0,587773137
PGM3	0,014956805	1,259223349
TPMT	0,997680721	0,213573328
CHMP4A	0,204058786	1,375864397
SYNCRIP	0,000331122	1,972893806
RAB13	0,883229037	0,141128757
ATP12A	0,907701183	0,19286605
IGKV3-15	0,029104504	1,122288583
DDX1	0,152448988	1,033759251
MYOC	0,458618284	0,022949463
FARSB	0,026440814	1,127974938
RNF13	0,001048552	1,257525645
ARL6IP5	0,309025748	0,392052351
TFRC	0,752823656	0,275409985
ACSS1	0,604208798	0,451841734
ADAM10	0,144209925	1,18711257
CSK	0,420285421	1,165963674
RAP1B	0,028420637	1,138752491
KATNAL2	0,147683885	0,154274431
RAB8B	0,885349889	0,16868168
PRKCZ	0,018186658	0,870577627
TXNL1	0,343266839	0,689124716
SLC22A5	7,79E-07	3,955387472
CYBRD1	0,180178349	0,582361789
CPNE2	0,07827638	1,543678082
APP	0,539155455	1,185946488
CPXM2	0,307370816	1,792180186
ERGIC1	0,91244075	0,174294368
HACD3	0,00255969	2,411021399
SLC12A6	0,002286628	1,757139992
SNX4	0,909540009	0,172828984
CKMT1A	0,035020424	0,314709663
FBLN5	0,268394282	1,894841589
SLC27A2	0,112028595	0,87312667
SEC31A	0,000420436	4,023436127
TRIM25	0,001367481	2,12328663
EBP	0,134350576	0,92400045
PERP	0,004949143	1,644790095
SAMHD1	0,002623152	3,187540678
ETF1	0,010503997	1,303618258
CLCN5	0,614710015	0,066904646
TNFAIP2	0,01525194	1,765384248
HDAC6	0,64154833	0,018010879
KMO	0,00630114	2,323309235
TLR3	0,245754512	0,588931417
LYPLA2	0,008239467	1,878534078
LYZ	0,175014862	0,854757947
CILP2	0,766328784	1,061986713
ROBO4	0,910729729	2,150111549
MYL12A	0,001342666	1,427807699
PAFAH1B3	0,017498233	1,217293377
NAPG	0,215632282	0,955368018
OSTF1	0,008087206	1,172508687
COL4A2	0,039802674	1,499448016
CPT1A	0,832373101	0,471791903
SPPL2A	0,034982855	0,929701099
TUBA1B	1,47E-13	13,28771238
COTL1	9,69E-05	3,834122207
SPARCL1	0,731701197	0,22341522
TMEM205	0,985278727	0,314502172
SFRP1	0,014383638	0,832174513
GALNT12	0,111001994	13,28771238
SLC12A9	5,80E-05	3,435762746
SNX5	0,071828976	1,255843761
PITPNA	0,851640116	0,41576845
EXOC5	0,000812881	2,367448326
PFKFB2	0,07061743	0,968462353
PSMB4	0,911735789	0,83609912
TMEM33	0,154552826	0,734567019
STT3B	0,148817546	0,173446272
RDH12	0,004783371	2,540900826
CCNY	0,715111732	0,127579331
ARSE	0,002025515	1,815420474
ITLN1	0,634368755	0,382451661
STOML2	0,012145437	1,54920993
GAPDHS	0,246592512	5,799198335
TOMM70	0,005287746	2,047004617
PKN2	0,819020951	0,084292682
SH3GLB2	0,000993311	2,236073526
GMPPB	0,782700475	0,017582737
ATP8B1	0,123699484	0,301939704
HMOX2	0,079660837	0,826495775
RPL5	0,000436542	2,358879988
FMO1	0,038895207	1,376375531
TLDC1	0,009630503	1,362107006
BZW1	0,02067258	1,501987682
HMOX1	0,000667588	3,193500227
EIF4A2	0,127801623	0,691016541
PCOLCE	0,271724974	1,006340869
KLC4	0,965390819	0,261501541
MUT	0,170657697	0,629976178
DNAJB1	0,030228996	1,145040839
S100A7	0,594028321	0,28632452
GANAB	0,235832317	0,168074496
ACTBL2	0,000235754	1,551813666
SARS	0,000774093	2,379667894
STXBP4	0,134483704	1,11576323
KRT31	0,263428509	3,32745863
IPO5	0,077490738	1,079437629
CSPG4	0,270351159	0,368802145
GMDS	0,593415986	0,468338601
SLC2A2	1,34E-07	2,99037831
SLC2A3	0,366544844	2,156764902
ACOT11	0,349131156	0,172020457
AP3B1	0,010821309	1,847318055
HPCAL1	0,142305578	0,30337977
GBA	0,789126528	0,051252502
FLG2	0,009914694	1,999756541
NPC1	0,000778507	1,738155142
C1QC	0,061368597	1,367857661
FDXR	0,144636379	1,673210541
MAN1C1	0,679829581	0,085631015
CPE	0,875408332	0,036665923
NUMA1	0,13793957	0,331799151
PCBP2	0,179465901	0,031598572
SERINC1	0,535932464	0,78166651
GNG12	0,379050459	0,628175302
MIF	0,000156044	1,358177682
RPS18	5,43E-06	1,882707551
PMVK	0,000334646	2,13638424
MX1	0,097230533	0,104905445
LRRC47	0,001143947	2,198512256
CLEC3B	0,003714077	1,794141835
SLC11A2	0,329391382	0,776349813
DPYSL2	0,412362435	0,56110768
MGST1	0,000123841	2,244055735
TCN2	0,468618555	0,173567745
CRIP2	0,088425609	0,475207951
WASHC5	0,317825421	0,912357352
ABI1	0,169507053	0,637194096
CCM2	0,015626359	0,931909607
C1R	0,597484275	0,503552358
HLA-DMB	0,181000369	1,226813461
GLA	0,930751221	0,187988126
TPP2	0,116695136	0,075964736
VWA1	0,260097632	3,03444737
DHRS7	0,602173425	0,282626973
NDUFB9	0,001848358	1,801614521
SURF4	0,53239229	0,365683033
JCHAIN	0,036415221	1,177697633
HNRNPL	0,006711991	2,134131136
KIF3A	0,313658057	0,026640977
GGACT	0,001353118	2,481961656
ABCC4	0,004670799	1,872175344
VIM	0,021484218	1,839609827
RPS13	7,07E-05	1,923445912
FERMT2	0,001196638	1,737172369
ARL8B	0,062997689	0,668288107
ACSL3	0,167979013	1,398065252
RNASE4	0,059686455	1,406609486
COPS4	0,859745037	0,332447604
PARP4	0,98207455	0,146274704
AP3D1	0,020191124	1,743224147
TUBB8	2,98E-10	13,28771238
HTRA1	0,861983635	0,327222671
EPX	0,020132499	0,918234186
KDELR2	0,000340464	13,28771238
STK11	0,000163958	2,193449157
PPCS	0,491192275	0,551227119
FAM83H	0,162491358	0,897865113
RAB17	0,548720376	0,517046715
SUN2	0,042031308	1,925026015
PGRMC2	0,019200861	1,223487719
PLIN3	0,094697471	1,965659725
GSTM2	0,473304202	0,324680353
SCFD1	0,144592465	0,496306105
AGL	0,049829995	0,933099044
GGT6	0,247097593	0,286393155
PHYHD1	0,389411125	0,305941939
ABHD11	0,65684919	0,001453735
RARRES2	0,0138521	1,511479581
NSDHL	0,950909089	0,183033412
IGKV3-11	0,070459651	0,897254245
GLB1	0,06878077	0,382031022
SPRYD4	0,981823562	0,006574781
C2	0,255796424	0,715888665
CD82	0,611095431	0,497609397
PPT1	0,317545413	0,821289252
LUM	0,260918907	0,07128261
NLRX1	0,025982801	2,250345091
IGSF8	0,577411062	0,857698263
DUSP3	0,007644752	1,106159711
SH3BP4	0,801491372	0,296132936
C1QB	0,064417596	1,338793195
GCLC	0,0296498	1,333210147
PSMB2	0,89951412	0,737388032
MARC2	0,669749573	0,072446829
SAR1A	0,047057504	1,00673285
RAP2C	0,002281742	1,1855131
PSMB3	0,22746599	0,286884958
FAT4	0,828715089	0,647404757
SNF8	0,096561759	1,414539926
PLPBP	0,662295776	0,572085231
TRIM23	0,383827331	0,333338538
GLMP	2,72E-07	3,842904607
GSDMA	0,432715772	1,733255136
TRPV5	0,063688657	1,260460795
LAMA5	0,14439196	2,488099855
CYBA	0,110605594	1,731692429
CHP1	0,22858342	0,609998094
ETHE1	0,016278638	1,099767571
GPC1	0,091885534	1,980257559
