GENE NAMES	Fold change	p-value	SIGN	LOGP	RANK
POR	-1.067664431	0.917000102	-1	0.037630616	-0.037630616
PSMD5	1.000946986	0.632512291	1	0.198931031	0.198931031
"=""TRIM16"	1.264617817	0.905284212	1	0.043215054	0.043215054
BHMT2	-1.856130198	0.022391332	-1	1.649920077	-1.649920077
METTL7A	-1.58247562	0.044200985	-1	1.354568054	-1.354568054
CKAP4	2.334728486	0.010602336	1	1.974598439	1.974598439
VPS36	-1.02114536	0.784792917	-1	0.105244925	-0.105244925
AMY2B	-9.276447335	0.000175053	-1	3.756831436	-3.756831436
ARPC1B	-1.616794729	0.053617128	-1	1.270696454	-1.270696454
ZNF185	-1.116613382	0.81437891	-1	0.089173482	-0.089173482
LCP1	-1.354764305	0.01738734	-1	1.759766847	-1.759766847
OXSR1	-1.332161912	0.065858227	-1	1.181389968	-1.181389968
TUBA4A	1.373750416	0.030584702	1	1.514495741	1.514495741
EIF3L	-1.318115973	0.644038307	-1	0.1910883	-0.1910883
GDI1	-3.029160279	0.000161408	-1	3.792074172	-3.792074172
"=""RPS4X"	1.014263671	0.802231605	1	0.095700232	0.095700232
HEXB	-1.201961832	0.136429698	-1	0.865091083	-0.865091083
KRT72	1.388538938	0.091778105	1	1.037260913	1.037260913
PSMC3	1.330126457	0.247056929	1	0.60720296	0.60720296
CEL	1.192585985	0.65559038	1	0.183367428	0.183367428
ALDH3A2	-1.418985921	0.077133386	-1	1.112757606	-1.112757606
PSMC6	1.164692663	0.495319951	1	0.305114179	0.305114179
CEACAM7	1.274266299	0.214434822	1	0.668704689	0.668704689
EML2	-1.868555597	0.072783143	-1	1.137969194	-1.137969194
ATP6V1C1	1.372598131	0.233115906	1	0.632428093	0.632428093
ANXA13	1.973360044	0.039221557	1	1.406475174	1.406475174
BST1	-1.47265197	0.132175779	-1	0.878848122	-0.878848122
YWHAQ	1.266222598	0.151757532	1	0.818849746	0.818849746
DSG1	1.846743305	0.554540709	1	0.256066567	0.256066567
PRKAG1	1.885630994	0.020396949	1	1.690434793	1.690434793
ORM2	1.435977782	0.299795945	1	0.523174246	0.523174246
TRAP1	-1.037600553	0.99391311	-1	0.002651581	-0.002651581
OPLAH	1.200538876	0.954728983	1	0.020119893	0.020119893
STEAP4	-10.13826755	4.27E-06	-1	5.369516415	-5.369516415
"=""HNRNPA1"	1.625595213	0.133495304	1	0.874534011	0.874534011
SUCLA2	-1.14925191	0.679488831	-1	0.167817678	-0.167817678
CA12	2.420177372	0.45437135	1	0.34258906	0.34258906
TARS	-1.702682378	0.028821393	-1	1.54028503	-1.54028503
APEH	-2.060248122	0.004021766	-1	2.395583249	-2.395583249
MAOA	-1.131099973	0.016116015	-1	1.792742334	-1.792742334
SLC5A9	-1.887772538	0.123949507	-1	0.906755195	-0.906755195
STX7	1.483040909	0.039435305	1	1.404114797	1.404114797
SDCBP	1.826361066	0.000236365	1	3.626417466	3.626417466
RAB27B	-2.139685702	0.316813157	-1	0.499196791	-0.499196791
GHITM	-1.640602396	0.175421871	-1	0.755916262	-0.755916262
ACADSB	1.278120835	0.668671635	1	0.174787099	0.174787099
SLCO4C1	-2.654629638	0.008162567	-1	2.088173254	-2.088173254
ISLR	-2.382750272	0.004019101	-1	2.395871089	-2.395871089
PSMD12	1.126880093	0.545313326	1	0.263353889	0.263353889
ITGB2	1.034557323	0.06537129	1	1.184612946	1.184612946
DIAPH1	-1.542825517	0.429757059	-1	0.366776981	-0.366776981
PPP2CB	1.338390149	0.075819622	1	1.120218384	1.120218384
ITCH	-1.724028072	0.04400928	-1	1.356455741	-1.356455741
SEPT7	-1.374317861	0.062324699	-1	1.205339807	-1.205339807
PFKM	-2.56194917	0.038027326	-1	1.419904214	-1.419904214
TRIM29	1.010071474	0.570516422	1	0.24373185	0.24373185
ETFB	1.631570918	0.087284913	1	1.059060818	1.059060818
ECM1	1.16473556	0.827443468	1	0.082261668	0.082261668
PTPA	-1.075305236	0.985092056	-1	0.006523183	-0.006523183
NDUFA10	1.604214429	0.015263746	1	1.816338877	1.816338877
C4A	1.098857352	0.334473232	1	0.475638633	0.475638633
PLD3	-1.231936403	0.528403731	-1	0.277034125	-0.277034125
PLCG2	-1.648268829	0.220655563	-1	0.656285118	-0.656285118
"=""EIF5A"	-1.473574092	0.074846181	-1	1.125830357	-1.125830357
QPRT	-2.15361543	0.240630527	-1	0.618649278	-0.618649278
TRIM47	-4.698747442	4.00E-06	-1	5.397451165	-5.397451165
DLST	1.513543554	0.716141687	1	0.145001045	0.145001045
GCA	2.21851152	0.028368822	1	1.547158692	1.547158692
CYSTM1	1.037729489	0.47250927	1	0.325589667	0.325589667
SPTA1	2.052710673	0.305926316	1	0.514383163	0.514383163
SERPINB12	1.205861947	0.73806771	1	0.131903795	0.131903795
MAN2B2	-1.971578143	0.242094219	-1	0.616015581	-0.616015581
DHX9	-1.147426675	0.400160307	-1	0.397765992	-0.397765992
TMPRSS11D	1.7811733	0.102664854	1	0.988578205	0.988578205
"=""OXCT1"	1.085921958	0.874935918	1	0.058023754	0.058023754
"=""GIPC1"	1.108300882	0.890688767	1	0.050274025	0.050274025
ARL13B	1.436264074	0.662966259	1	0.178508574	0.178508574
GALM	-1.208779809	0.416187282	-1	0.380711195	-0.380711195
KRT80	1.629964079	0.105587572	1	0.976387197	0.976387197
HSDL2	-1.514184284	0.039651496	-1	1.401740426	-1.401740426
SARG	-1.232822279	0.014247151	-1	1.846271968	-1.846271968
C5	2.922837483	0.648214903	1	0.188280988	0.188280988
HSPA6	1.037260862	0.581315408	1	0.235588166	0.235588166
CRB2	-3.023180835	0.004277389	-1	2.368821225	-2.368821225
OLA1	-1.800048633	0.005091973	-1	2.293113936	-2.293113936
CRABP2	-2.131678907	0.013610527	-1	1.866125053	-1.866125053
CDH16	9.60312241	0.304173521	1	0.516878595	0.516878595
HNRNPH1	1.502160525	0.05578117	1	1.253512384	1.253512384
GNPDA1	1.224270396	0.944666528	1	0.024721472	0.024721472
IGFBP7	-3.724883529	0.007038052	-1	2.152547539	-2.152547539
LONP1	-1.243942622	0.488895846	-1	0.310783653	-0.310783653
ACAT2	-1.375374687	0.275119626	-1	0.560478428	-0.560478428
BLVRA	-1.348585239	0.216250186	-1	0.66504351	-0.66504351
GLYAT	-1.976937737	0.006100991	-1	2.214599632	-2.214599632
ESYT1	1.906297479	0.012773333	1	1.893695753	1.893695753
"=""SULT1A1"	-1.014582328	0.815792371	-1	0.08842036	-0.08842036
SLC25A24	1.509433931	0.60021047	1	0.221696433	0.221696433
CAT	1.349276733	0.999249949	1	0.000325865	0.000325865
ATP6AP1	-1.06372936	0.299675812	-1	0.523348309	-0.523348309
LMO7	-1.232627161	0.363893632	-1	0.439025545	-0.439025545
SLC22A8	-1.020033171	0.413983703	-1	0.383016755	-0.383016755
IGHG4	-12.04327733	0.001775823	-1	2.750600377	-2.750600377
RAB5B	1.995336595	0.000230628	1	3.637088883	3.637088883
ELANE	1.59163865	0.82452646	1	0.083795403	0.083795403
RAB25	1.423365023	0.045812885	1	1.339012361	1.339012361
ACAA1	-1.021807085	0.991610538	-1	0.003658867	-0.003658867
"=""FABP5"	-2.742644205	0.137621138	-1	0.861314854	-0.861314854
SLC13A3	1.590705292	0.848094559	1	0.071555723	0.071555723
PARK7	1.125212084	0.501293754	1	0.299907706	0.299907706
GARS	-1.051642366	0.800543679	-1	0.096614967	-0.096614967
PREP	-1.889492315	0.026859051	-1	1.57090934	-1.57090934
SFXN1	1.578418166	0.040057576	1	1.397315335	1.397315335
AKAP4	-10000	0.081996089	-1	1.086206864	-1.086206864
PAFAH1B1	-1.767483912	0.011639319	-1	1.934072441	-1.934072441
SEPT2	-1.200550845	0.180151106	-1	0.744363068	-0.744363068
GALNS	-4.14190814	0.01096551	-1	1.959971147	-1.959971147
ETFDH	-1.295809769	0.431695523	-1	0.364822455	-0.364822455
PLXNB2	1.191624079	0.634110287	1	0.197835202	0.197835202
DECR1	1.722778914	0.173731722	1	0.760120877	0.760120877
HYAL1	-1.556232283	0.073630558	-1	1.132941911	-1.132941911
ABCD3	1.000784631	0.612691245	1	0.212758325	0.212758325
IDH3A	1.277781622	0.190362177	1	0.720419337	0.720419337
GPT	-2.449086821	0.016809648	-1	1.774441376	-1.774441376
DSC2	1.059216912	0.204906214	1	0.688444872	0.688444872
MFGE8	-2.871832844	0.008879791	-1	2.051597275	-2.051597275
SERPINA6	-12.80441341	0.000739085	-1	3.131305537	-3.131305537
UGT1A6	2.031952855	0.796235062	1	0.098958702	0.098958702
PTTG1IP	-154.2856542	1.14E-15	-1	14.94499701	-14.94499701
HIBCH	-1.479911831	0.270455692	-1	0.567903875	-0.567903875
PSMA7	3.809908371	8.38E-07	1	6.076561451	6.076561451
LPL	-1.38736138	0.318055526	-1	0.497497055	-0.497497055
SND1	-1.21087342	0.349315765	-1	0.456781813	-0.456781813
FCN2	1.906502119	0.030254879	1	1.519204585	1.519204585
CEACAM8	1.770077443	0.559649029	1	0.252084245	0.252084245
CARMIL1	-1.577091827	0.322868168	-1	0.49097477	-0.49097477
BCAP31	1.507288343	0.106405527	1	0.973035815	0.973035815
AKR1C2	1.501069267	0.14595729	1	0.835774209	0.835774209
"=""TAGLN2"	1.177129121	0.710893791	1	0.148195279	0.148195279
QDPR	1.143251728	0.308978493	1	0.51007175	0.51007175
CD55	-72.93545727	4.63E-15	-1	14.33451961	-14.33451961
CA4	-3.503632963	0.001758852	-1	2.754770709	-2.754770709
TMEM43	2.149026672	0.002007108	1	2.697429337	2.697429337
RNASE2	-1.468933188	0.696773755	-1	0.156908216	-0.156908216
RPS2	-1.720591711	0.096284942	-1	1.016441626	-1.016441626
ALDOC	2.069593748	0.019152325	1	1.717778489	1.717778489
SOD3	1.008541008	0.895689889	1	0.047842328	0.047842328
LCN2	-1.094004754	0.61933672	-1	0.20807317	-0.20807317
ATP6V0D2	1.496181526	0.677622865	1	0.169011948	0.169011948
GALK1	1.128218678	0.888366815	1	0.051407673	0.051407673
ARL8A	-1.343637619	0.187835449	-1	0.726222444	-0.726222444
PSCA	-2.041934356	0.002358147	-1	2.627429204	-2.627429204
IGKV4-1	-1.12025948	0.985849131	-1	0.006189542	-0.006189542
DSTN	-3.025237065	4.16E-05	-1	4.380707646	-4.380707646
RDH11	-1.104841638	0.925160423	-1	0.033782954	-0.033782954
"=""RAB35"	1.246071712	0.224899223	1	0.648012044	0.648012044
MAT2A	-1.003000041	0.865506388	-1	0.062729722	-0.062729722
NDUFS3	3.964602653	1.49E-05	1	4.826974241	4.826974241
RHOG	-2.382126857	0.017979747	-1	1.745216431	-1.745216431
MUC5B	-64.46932655	2.13E-08	-1	7.671713888	-7.671713888
VPS25	1.03635599	0.630912335	1	0.200030981	0.200030981
SPTBN2	1.016715107	0.836101626	1	0.077740932	0.077740932
HLA-C	1.360655352	0.112590052	1	0.948499981	0.948499981
SCCPDH	2.361039626	0.456954414	1	0.340127123	0.340127123
TOM1	-1.043324078	0.446612117	-1	0.350069498	-0.350069498
"=""PPP2R2A"	-1.307465529	0.234620708	-1	0.629633659	-0.629633659
ITIH2	1.301624787	0.540990717	1	0.266810187	0.266810187
DNASE1	-1.718898882	0.495315444	-1	0.305118131	-0.305118131
SCRN2	-1.169506326	0.461166301	-1	0.336142436	-0.336142436
CPNE1	2.383684538	6.40E-05	1	4.193845246	4.193845246
DLD	-1.834720245	0.154237265	-1	0.811810683	-0.811810683
POF1B	1.579891947	0.119346895	1	0.923188876	0.923188876
TGM4	-72.11815378	0.010734417	-1	1.969221527	-1.969221527
SLC22A11	1.450364277	0.844654439	1	0.073320931	0.073320931
GPD1L	-1.960950741	0.027365614	-1	1.562794802	-1.562794802
ANKFY1	-4.331654344	7.02E-06	-1	5.153669854	-5.153669854
XPO1	-1.434456057	0.613281506	-1	0.212340131	-0.212340131
SAMD9	-1.047879544	0.44153898	-1	0.35503095	-0.35503095
HYOU1	1.096872704	0.506077545	1	0.295782932	0.295782932
XRCC5	-1.939619956	0.019370152	-1	1.712866981	-1.712866981
IARS2	-1.833453256	0.366867143	-1	0.435491182	-0.435491182
HSPA12A	-2.130218317	0.003942992	-1	2.404174092	-2.404174092
MSRA	1.733776514	0.010313853	1	1.986579081	1.986579081
"=""CALM3"	-1.047144455	0.842483042	-1	0.074438832	-0.074438832
"=""MYL6"	-2.023094435	0.001091894	-1	2.961819351	-2.961819351
GLO1	-1.495263304	0.216367484	-1	0.664808004	-0.664808004
SLC2A1	3.583296162	0.004913695	1	2.308591765	2.308591765
TMEM176B	-1.162770074	0.644673153	-1	0.190660416	-0.190660416
XPNPEP1	-1.971101312	0.002540267	-1	2.595120674	-2.595120674
GSTO1	-1.177153615	0.909176975	-1	0.041351571	-0.041351571
IGHV3-74	-2.934220508	0.002230822	-1	2.651535032	-2.651535032
CYC1	-1.05146863	0.729673609	-1	0.136871361	-0.136871361
PRDX3	2.762336759	0.000121039	1	3.917074819	3.917074819
IMPDH2	1.104121727	0.744650036	1	0.128047785	0.128047785
"=""HIST1H2AJ"	-1.721751948	0.093627157	-1	1.028598163	-1.028598163
TUBB2B	1.134291723	0.395706615	1	0.40262669	0.40262669
F11	-6.512884653	0.000214821	-1	3.667923299	-3.667923299
C8B	1.10064927	0.281396088	1	0.550681944	0.550681944
PRKACA	-1.62083506	0.260713663	-1	0.583836209	-0.583836209
IGHV3-7	-2.617663766	0.058205	-1	1.235039704	-1.235039704
EPRS	-2.4027107	0.025931372	-1	1.58617451	-1.58617451
"=""PARD6B"	-2.659322036	0.004194555	-1	2.377314075	-2.377314075
FLNA	1.314882537	0.44448015	1	0.35214763	0.35214763
KRAS	-1.450236089	0.249170984	-1	0.603502533	-0.603502533
DDX39B	-1.04088664	0.917040196	-1	0.037611628	-0.037611628
USO1	1.138145773	0.815890778	1	0.088367976	0.088367976
GDA	-4.133710197	0.074585984	-1	1.127342775	-1.127342775
PGM2	-2.56216674	0.01189265	-1	1.92472135	-1.92472135
ITIH1	-1.405251392	0.170971162	-1	0.767077136	-0.767077136
UCHL1	-2.673455866	0.059526227	-1	1.225291646	-1.225291646
FAM129A	-14.06107841	5.57E-05	-1	4.253780857	-4.253780857
ITGA3	-1.460320657	0.510179187	-1	0.292277263	-0.292277263
"=""RPS6KA1"	-3.324880677	0.000122959	-1	3.910240936	-3.910240936
ARPC4	-1.277569869	0.372233787	-1	0.429184209	-0.429184209
TOMM40	-1.64827299	0.199284807	-1	0.70052581	-0.70052581
HEXA	-2.373861001	0.004084077	-1	2.388906112	-2.388906112
CTTN	-1.94742283	0.003166085	-1	2.499477436	-2.499477436
HLA-A	1.687067799	0.741337869	1	0.129983815	0.129983815
PTPN23	-1.181247672	0.680815458	-1	0.166970592	-0.166970592
RALA	1.265255715	0.069820481	1	1.156017162	1.156017162
FAH	1.660514716	0.380707863	1	0.419408154	0.419408154
ATP5J2	1.776795301	0.003143583	1	2.502575099	2.502575099
FUCA2	-19.6599486	0.0009283	-1	3.032311655	-3.032311655
DNAJA1	-1.252056887	0.32185225	-1	0.49234345	-0.49234345
MARCKS	-1.357096126	0.469990091	-1	0.327911299	-0.327911299
"=""C7"	-1.001202694	0.427982724	-1	0.368573762	-0.368573762
AZU1	1.797537385	0.179150924	1	0.746780948	0.746780948
TMEM27	2.257138785	0.000992039	1	3.003471081	3.003471081
SNAP23	1.448950039	0.335889361	1	0.473803752	0.473803752
PLS1	-3.14473981	0.021989001	-1	1.657794493	-1.657794493
RPL4	-2.240775222	0.000942208	-1	3.025853307	-3.025853307
TRHDE	-4.351561485	0.019848188	-1	1.702279142	-1.702279142
SMIM24	1.350993754	0.076088361	1	1.118681774	1.118681774
TMEM106B	-2.903559618	0.001390529	-1	2.856820018	-2.856820018
UBA6	-2.104712189	0.137425191	-1	0.861933652	-0.861933652
ACADS	1.182766215	0.92444781	1	0.034117602	0.034117602
ADH6	-1.349665605	0.17986361	-1	0.745056694	-0.745056694
FOLR1	-28.36722389	4.68E-08	-1	7.329946162	-7.329946162
"=""TNXB"	-1.754094021	0.288589247	-1	0.539719855	-0.539719855
GRB2	1.529388324	0.07535994	1	1.122859453	1.122859453
BPI	2.58018709	0.533873902	1	0.272561309	0.272561309
"=""TPT1"	1.364239646	0.283051731	1	0.548134185	0.548134185
"=""NME2"	-3.257171815	0.026004637	-1	1.584949203	-1.584949203
ARF4	-1.261024457	0.202170013	-1	0.694283261	-0.694283261
ARL3	1.077108775	0.479075938	1	0.319595641	0.319595641
XRCC6	1.393379559	0.336326545	1	0.473238854	0.473238854
GLTP	1.434818486	0.185135717	1	0.732509788	0.732509788
RPL7	1.175250062	0.333419404	1	0.47700913	0.47700913
APRT	-1.856887848	0.043556389	-1	1.360948129	-1.360948129
BSG	1.178469372	0.959097684	1	0.018137158	0.018137158
PSME1	1.193464677	0.484889218	1	0.314357473	0.314357473
IARS	-1.166131725	0.933744996	-1	0.029771713	-0.029771713
TMPRSS11E	1.011897904	0.527037393	1	0.27815857	0.27815857
RENBP	1.361092628	0.923380051	1	0.034619512	0.034619512
CD177	-10000	2.43E-10	-1	9.615038836	-9.615038836
GPC4	-1.43960677	0.905392624	-1	0.043163048	-0.043163048
GPC3	-1.042692318	0.564463723	-1	0.248363964	-0.248363964
CAPZA1	1.353951531	0.084012951	1	1.075653759	1.075653759
EIF6	2.913723088	6.62E-05	1	4.179453055	4.179453055
MMP9	2.02456966	0.939310625	1	0.027190765	0.027190765
TALDO1	-1.98390925	0.099432041	-1	1.002473647	-1.002473647
ARHGAP18	-4.905881595	7.23E-06	-1	5.140571447	-5.140571447
FLII	-1.465235763	0.149375622	-1	0.825720273	-0.825720273
RAB43	1.970325808	0.046213797	1	1.335228345	1.335228345
CHMP6	1.151825374	0.762011546	1	0.118038448	0.118038448
PSMC2	1.300256104	0.506900979	1	0.29507687	0.29507687
IQCC	1.290200401	0.41746316	1	0.379381843	0.379381843
MFSD12	1.493693826	0.023254141	1	1.633499693	1.633499693
CRAT	1.274407803	0.34493024	1	0.46226873	0.46226873
APOH	-4.110917074	0.026963261	-1	1.569227586	-1.569227586
PDIA4	-1.22396059	0.269119185	-1	0.570055341	-0.570055341
CDHR2	2.599846339	0.003109121	1	2.507362338	2.507362338
RPL3	-1.716231371	0.008245594	-1	2.083778066	-2.083778066
HNRNPA3	-1.285470211	0.238267187	-1	0.622935762	-0.622935762
MYO5B	-2.729936673	0.038558865	-1	1.413875762	-1.413875762
CAMK2D	-1.014706184	0.8484075	-1	0.071395501	-0.071395501
NDUFV1	-1.70039131	0.109831988	-1	0.959271157	-0.959271157
"=""CSNK1A1"	1.764050506	0.012726407	1	1.89529419	1.89529419
XPO7	-1.670090899	0.480012521	-1	0.318747434	-0.318747434
PSMD6	1.032111791	0.859679729	1	0.065663313	0.065663313
SLC9A3R2	-1.189710975	0.770940412	-1	0.112979189	-0.112979189
CLIC6	-1.166226332	0.419539514	-1	0.377227129	-0.377227129
FAM49B	1.054390965	0.687871435	1	0.162492725	0.162492725
CHMP4C	2.106229771	0.009432355	1	2.02537985	2.02537985
SLC7A8	-1.391809672	0.167552125	-1	0.775850059	-0.775850059
RAPGEF3	-1.698262747	0.099581068	-1	1.00182322	-1.00182322
RPS9	1.401561446	0.402613399	1	0.395111776	0.395111776
USP14	-2.726725315	0.000114205	-1	3.942313098	-3.942313098
C4BPA	2.974549112	0.442623661	1	0.353965374	0.353965374
CORO1A	-1.446210946	0.154219989	-1	0.811859332	-0.811859332
GSS	-2.299143197	0.066850559	-1	1.174894958	-1.174894958
ITIH3	1.12853246	0.791396043	1	0.101606125	0.101606125
CTSZ	-1.552285746	0.125667772	-1	0.900776086	-0.900776086
TPRG1	1.64568588	0.054152696	1	1.266379915	1.266379915
S100A11	-2.400870274	0.025553197	-1	1.592554751	-1.592554751
CSE1L	-2.817127795	0.027007161	-1	1.56852107	-1.56852107
UPK2	-2.741871121	0.078148923	-1	1.107077001	-1.107077001
SLC1A1	1.120259779	0.796088836	1	0.099038466	0.099038466
NIPSNAP1	1.886758382	0.007189059	1	2.143327956	2.143327956
RP2	-1.76779171	0.021365874	-1	1.670279344	-1.670279344
TMEM63A	-1.265198895	0.827223501	-1	0.082377136	-0.082377136
GBA	-1.531807968	0.083709238	-1	1.077226614	-1.077226614
GPR155	-1.03370136	0.959501657	-1	0.017954271	-0.017954271
PPP1R7	1.116223613	0.608229011	1	0.215932869	0.215932869
"=""USP9X"	-2.669775359	0.152834932	-1	0.815777373	-0.815777373
BPIFB1	-2.058285279	0.000479314	-1	3.319380106	-3.319380106
SULT1C2	1.334256689	0.202086411	1	0.69446289	0.69446289
MGST3	-1.183348531	0.593007305	-1	0.226939956	-0.226939956
MEGF8	-10.56545435	0.003121652	-1	2.505615447	-2.505615447
TMED10	-1.150823991	0.382941329	-1	0.416867759	-0.416867759
ALOX12B	-1.499709797	0.816755436	-1	0.087907966	-0.087907966
DAB2	-1.521390751	0.061981131	-1	1.207740504	-1.207740504
ABCB6	2.650215568	0.016127439	1	1.792434595	1.792434595
TSTA3	-1.255629914	0.215903603	-1	0.665740109	-0.665740109
NEU1	-1.037608676	0.771846121	-1	0.112469274	-0.112469274
ACOX3	-1.371487945	0.566365612	-1	0.246903124	-0.246903124
RAB18	-1.38007692	0.54090721	-1	0.26687723	-0.26687723
TJP2	-1.276321275	0.159023142	-1	0.798539669	-0.798539669
RAB1B	1.643137271	0.037298426	1	1.428309491	1.428309491
CPNE5	1.431770382	0.982571225	1	0.007635958	0.007635958
DBT	-1.26763734	0.370762175	-1	0.430904579	-0.430904579
SLC44A1	-1.540946474	0.194240144	-1	0.711661008	-0.711661008
TACSTD2	1.892940289	0.063524277	1	1.197060268	1.197060268
HSD17B12	1.954265414	0.00190693	1	2.719665352	2.719665352
H2AFY	-2.005895659	0.002790518	-1	2.554315191	-2.554315191
PRTN3	2.58190336	0.045019557	1	1.34659878	1.34659878
IVD	1.454603596	0.328957313	1	0.482860454	0.482860454
RPS8	-1.631092651	0.058189106	-1	1.235158317	-1.235158317
DNAJA2	-1.11397362	0.531132738	-1	0.274796929	-0.274796929
PAPSS2	1.211356677	0.90403464	1	0.043814928	0.043814928
PDLIM5	-1.544831786	0.0383999	-1	1.415669908	-1.415669908
MYO1E	-1.806281954	0.074554359	-1	1.127526961	-1.127526961
AMY1A	-13.61078655	0.004864138	-1	2.312994083	-2.312994083
HSP90AB2P	-1.098342529	0.931455763	-1	0.030837766	-0.030837766
TECR	-1.208786535	0.916109928	-1	0.038052411	-0.038052411
NT5C2	-2.088856875	0.014069495	-1	1.85172148	-1.85172148
KIF13B	-1.077814873	0.777061674	-1	0.109544511	-0.109544511
ARPC3	-1.351867368	0.360976827	-1	0.442520677	-0.442520677
ATRN	-2.761784856	0.854322855	-1	0.068377975	-0.068377975
SLC25A4	2.361653599	0.001157302	1	2.936553418	2.936553418
VARS	-1.150889771	0.618032076	-1	0.208988985	-0.208988985
RPS3A	-1.301938915	0.168580545	-1	0.773192545	-0.773192545
DGLUCY	1.622192897	0.499141278	1	0.301776514	0.301776514
SCPEP1	1.383493514	0.134386224	1	0.871645248	0.871645248
C1RL	-2.414167875	0.249062067	-1	0.603692411	-0.603692411
"=""SH3GL1"	-1.234764421	0.255072623	-1	0.593336151	-0.593336151
PA2G4	1.018611009	0.52099182	1	0.283169096	0.283169096
HEBP2	1.686341217	0.012805301	1	1.89261021	1.89261021
CUL3	-1.333805558	0.34134626	-1	0.466804852	-0.466804852
SEC22B	2.693016025	3.03E-05	1	4.518895541	4.518895541
EIF3B	-1.537138962	0.063837788	-1	1.194922171	-1.194922171
DNAJC11	-1.645065586	0.315389833	-1	0.501152311	-0.501152311
VPS26A	2.597387222	0.016531618	1	1.781684633	1.781684633
PTPRC	3.451769157	0.346703239	1	0.460042101	0.460042101
TAOK3	-1.106902835	0.467450649	-1	0.330264233	-0.330264233
DPP3	-1.81012255	0.047809754	-1	1.320483493	-1.320483493
CYB5R1	1.361121894	0.242901872	1	0.614569137	0.614569137
"=""HNRNPC"	-1.05149073	0.953519813	-1	0.020670278	-0.020670278
CHMP3	1.028143572	0.727531525	1	0.138148183	0.138148183
GLOD4	-2.098152831	0.049890874	-1	1.301978889	-1.301978889
HBD	-1.746661815	0.812677717	-1	0.090081648	-0.090081648
ABAT	-2.58121599	0.011242307			
TSPAN3	-2.015418193	0.009464572			
VNN2	2.590151914	0.420129834			
PAFAH1B2	1.666242203	0.011950511			
MCCC2	1.861227628	0.86601937			
TGM2	-2.898526801	0.019455925			
RPL15	1.779841543	0.1821907			
SLC5A8	-1.005259826	0.921404043			
"=""PABPC1"	-1.460037097	0.107295222			
"=""CROCC"	-1.205128387	0.432907944			
ALDH16A1	-1.037978824	0.420566035			
TFG	-1.711138435	0.140828505			
ECHDC1	1.293593086	0.615773641			
SNX2	-1.353530011	0.474671599			
PSMA1	1.521470848	0.192131909			
PSME2	1.40179435	0.069434793			
TRIP10	2.013000158	0.022871395			
SDCBP2	1.590920754	0.050510901			
PCYT2	-1.453406135	0.274234161			
APPL2	-4.971868017	1.20E-05			
PSMC4	1.064339258	0.956807897			
TOM1L1	-1.961670494	0.018196116			
DCD	1.672705084	0.003382638			
HLA-DRB1	1.73515189	0.101801481			
F9	-3.699743217	0.013330649			
RPL6	1.214907406	0.530859705			
ABCD4	1.130371458	0.787574504			
AP1M2	-1.808727644	0.018489484			
CLRN3	1.380525537	0.063396414			
RTCB	-2.486391324	0.006626766			
"=""BIN1"	1.632506604	0.166985342			
SOD2	1.14485688	0.784069131			
DNAJC5	1.024418202	0.881942025			
COX4I1	-1.118258945	0.314770379			
PTPRS	-2.570555812	0.174765818			
PSMA2	2.101076103	0.012187596			
PSMA3	1.846923964	0.010426718			
EEF1D	3.453729399	8.52E-07			
"=""UGT1A9"	-1.156952104	0.528751182			
KRT13	1.136896455	0.659821223			
HUWE1	-2.146052862	0.207258467			
NANS	-2.305506804	0.018501724			
PSMC1	-1.09608637	0.626276119			
LYPLAL1	1.703143863	0.025356592			
SCAMP2	1.085790867	0.517803291			
ALDH3A1	-1.067057917	0.679132763			
"=""EIF2S3"	-2.243020899	0.01341869			
PSMD7	1.538336368	0.119397724			
HEBP1	1.552302899	0.130856162			
ILVBL	-1.597429982	0.429759006			
SYTL1	-5.494870181	0.000685162			
PTPN6	-1.424948763	0.238513194			
FUT6	1.13606902	0.997964979			
OGDHL	2.103541267	0.791002903			
GSTT1	-1.034957717	0.796173468			
SOD1	-3.900731007	0.000440729			
PSMA5	2.710392223	0.00018382			
UBXN6	-3.22048106	0.000857212			
DNAJC13	-5.750041362	4.07E-05			
MGLL	1.516296037	0.07071428			
TOM1L2	-1.027685704	0.581948382			
ATP6V1C2	2.297179085	0.403101626			
PHPT1	-3.653076397	0.00034448			
SLC25A12	1.150443256	0.92396556			
FREM2	-3.629822188	0.026197488			
GSTM1	1.251821081	0.969119094			
PSMA6	1.275608122	0.289033321			
"=""AQP7"	3.299397373	0.31673226			
GM2A	1.069144832	0.987580357			
ALDH5A1	1.056021782	0.769084796			
SACM1L	-1.382698437	0.31140571			
ARMT1	-1.187296845	0.361377146			
NUCB1	-1.034024359	0.641421878			
RAB32	2.798975581	0.0001416			
ARHGDIB	-1.0086852	0.939864979			
CDH11	-1.187835962	0.006696284			
CRYBG1	1.041006694	0.446217022			
SMS	-4.728132969	0.015989306			
IFITM3	-1.268776715	0.174585881			
TMEM30A	-2.167726148	0.009559449			
RRAS	1.265504829	0.193838262			
MUC21	2.848601357	0.001549657			
MGAT1	-1.648214461	0.175641312			
SYK	-2.777804871	0.001966716			
UBR4	-2.264415588	0.087515109			
ACTB	-10000	2.74E-11			
H3F3A	-1.75708062	0.032733244			
ATL3	-1.120510225	0.83746468			
C21orf33	1.544726733	0.178567237			
ARCN1	-1.115587398	0.639425202			
